city,cloudiness,country,humidity,lat,long,temp,wind_speed
Busselton,76,AU,100,-33.65,115.33,61.12,10.87
Lima,90,US,100,40.74,-84.11,55.99,16.11
Hermanus,0,ZA,59,-34.42,19.23,63.23,3.71
Uray,80,RU,89,60.12,64.78,23.09,5.84
Butaritari,0,KI,100,3.07,172.79,83.44,1.14
Koslan,88,RU,84,63.46,48.9,33.17,7.29
Tuktoyaktuk,90,CA,84,69.45,-133.04,3.2,9.17
Bowen,75,AU,94,-20.02,148.23,68.0,1.12
Lalibela,0,ET,55,12.03,39.03,50.77,1.92
Novochernorechenskiy,36,RU,85,56.27,91.08,21.47,6.06
Ixtapa,0,MX,65,20.7,-105.2,82.08,2.04
Urubicha,56,BO,72,-15.38,-62.95,84.47,4.72
Narsaq,90,GL,57,60.92,-46.05,23.0,3.36
Ushuaia,75,AR,100,-54.8,-68.3,33.8,24.16
Bluff,0,NZ,100,-46.6,168.33,50.63,9.98
Mahebourg,75,MU,83,-20.41,57.7,77.0,5.82
Soria,0,ES,74,41.76,-2.47,33.94,2.37
Rikitea,48,PF,100,-23.12,-134.97,73.0,18.59
Vaini,75,TO,94,-21.2,-175.2,78.8,2.24
Bonavista,48,CA,93,48.65,-53.11,43.57,3.6
Kapaa,1,US,78,22.08,-159.32,74.5,4.7
Visnes,75,NO,75,59.36,5.22,44.6,28.86
Hit,36,IQ,82,33.64,42.83,56.48,7.74
Mwingi,36,KE,91,-0.93,38.06,61.07,1.81
Tecalitlan,5,MX,69,19.47,-103.3,80.6,11.41
Baruun-Urt,0,MN,59,46.68,113.28,-0.27,10.2
Hobart,0,AU,77,-42.88,147.33,59.0,6.93
Albany,68,AU,91,-35.02,117.89,60.71,4.16
Port-Cartier,75,CA,69,50.03,-66.87,35.6,6.93
Srednekolymsk,68,RU,71,67.45,153.68,-2.3,7.96
Castro,92,CL,100,-42.47,-73.77,51.35,8.97
Pisco,0,PE,77,-13.7,-76.22,68.0,11.41
Nanortalik,24,GL,98,60.14,-45.24,28.58,31.12
Durango,1,US,34,37.28,-107.88,39.29,2.93
Souillac,75,MU,83,-20.52,57.52,77.0,5.82
Saint-Francois,92,GP,66,16.25,-61.27,86.0,13.87
Hithadhoo,56,MV,100,-0.6,73.08,82.85,9.86
Chapais,90,CA,92,49.78,-74.85,17.6,6.93
Oudtshoorn,0,ZA,77,-33.59,22.2,60.8,3.36
Barrow,90,US,78,71.29,-156.79,12.2,5.61
Nouadhibou,0,MR,82,20.93,-17.03,68.0,10.29
Cariamanga,0,EC,37,-4.33,-79.55,84.74,2.15
Iqaluit,75,CA,66,63.75,-68.51,12.2,12.75
Poum,88,NC,100,-20.23,164.02,75.11,7.63
Jamestown,64,SH,100,-15.94,-5.72,68.05,15.79
Upernavik,0,GL,100,72.79,-56.15,8.65,13.78
